,,train_name,station_name,station_code,id,train_number,departure
,,Bhagalpur Azimganj Passenger,BHAGALPUR,BGP,312010,53030,04:50:00
,,Shree Chatrapati Shahu M(T) Kolhapur- Pune Passenger,C SHAHU M RAJ KOLHAPUR TERM,KOP,15269,51410,04:45:00
,,Vadtal Swaminarayan Anand Passenger,Vadtal Swaminarayan,VTL,331170,59164,11:20:00
,,Amritsar Shatabdi Express,NEW DELHI,NDLS,157826,12031,07:20:00
,,ParliVaijnath-Miraj Passenger,PARLI VAIJNATH,PRLI,15666,51425,07:10:00
,,Balgona-Katwa Fast Local,Balgona,BGNA,298426,52301,06:05:00
,,AMRITSAR - CHANDIGARH Intercity SF Exp,AMRITSAR JN,ASR,444951,12412,None
,,Una Chandigarh Haridwar Link Jan Shatabdi,Una Himachal,UHL,375642,12064,05:00:00
,,Tiruturaipudi Karaikkudi Express,Tiruturaipudi Junction,TTP,332247,16861,05:15:00
,,Fatehpur Kanpur Passenger,FATEHPUR,FTP,287286,54151,07:20:00
,,Ludhiana Firozpur Passenger,LUDHIANA JN,LDH,331153,54051,10:05:00
,,JAMALPUR KIUL PASS,JAMALPUR JN,JMP,339337,53421,07:30:00
,,Bhadrak Cuttack Passenger,BHADRAKH,BHC,317179,58423,14:10:00
,,Barharwa- Rampurhat Passenger,BARHARWA JN,BHW,298182,53138,09:50:00
,,Ajmer Ahmedabad Passenger,AJMER JN,AII,318180,54806,10:15:00
,,Tea Garden Express,Nagore,NCR,293536,16865,16:30:00
,,Durg Ambikapur Express,DURG,DURG,322162,18241,20:10:00
,,Danapur Giridih Express,DANAPUR,DNR,287478,83112,19:00:00
,,Katihar Hajipur Passenger,KATIHAR JN,KIR,309936,55539,04:00:00
,,Jabalpur-HabibGanj Bhopal Jan Shatabdi,JABALPUR,JBP,20819,12062,06:00:00
,,UDAIPUR - AHMEDABAD Exp,UDAIPUR CITY,UDZ,440935,19943,19:25:00
,,Ledo Guwahati Intercity Express,Ledo,LEDO,298303,15604,15:15:00
,,InterCity Express,RATLAM JN,RTM,302237,19303,06:00:00
,,Gondia-Raigarh Jan Shatabdi,GONDIA JN,G,356242,12070,15:00:00
,,Alipurduar Lumding Express,ALIPUR DUAR JN,APDJ,336404,15769,04:00:00
,,Kasganj Kanpur Express,KASGANJ,KSJ,298218,15038,12:00:00
,,Porbandar Bhanvad Passenger,PORBANDAR,PBR,309930,59214,05:10:00
,,Jorhat Guwahati Jan Shatabdi,Jorhat Town,JTTN,202149,12068,13:55:00
,,Kalka Shimla Passenger,Kalka,KLK,326760,52457,04:00:00
,,Miraj-Kolhapur Passenger,MIRAJ JN,MRJ,15214,51407,16:55:00
,,Howrah Chennai Superfast Mail,HOWRAH JN,HWH,334675,12839,23:45:00
,,Raigarh-Gondia Jan Shatabdi,RAIGARH,RIG,163708,12069,06:25:00
,,Surat InterCity Express,HAPA,HAPA,332385,29060,04:55:00
,,Kolhapur Miraj Passenger,C SHAHU M RAJ KOLHAPUR TERM,KOP,15221,51408,21:30:00
